code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2277,友阿股份,百货,湖南,36.74,11.32,14.17,1180913.25,516266.94,209564.75,197982.42,1.4,0.211,3.48,2.23,2009/7/17,193383.3,1.37,0.78,-3.55,18.78,4.8,42973
601890,亚星锚链,船舶,江苏,146.5,9.59,9.59,382271.16,283281.94,62850.08,138463.2,1.44,0.05,3.05,3.23,2010/12/28,52673.75,0.55,-25.92,-23.28,26.9,5.75,159550
2774,快意电梯,运输设备,广东,48.2,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,7.74,2017/3/24,13847.5,0.41,4.68,49.25,37.84,12.56,142948
603323,吴江银行,银行,江苏,27.21,1.12,11.14,7785579,0,107203.9,100000,0.9,0.505,7.02,2.61,2016/11/29,91281.2,0.82,0,0,0,32.42,105611
300629,新劲刚,矿物制品,广东,47.73,0.17,0.67,39283.85,27371.24,9031.75,5031.68,0.75,0.402,4.23,4.53,2017/3/24,10057.5,1.51,0.59,21.76,31.63,10.95,30744
2855,捷荣技术,塑料,广东,67.16,0.6,2.4,164321.38,113054.6,37191.48,21839.24,0.91,0.301,4.47,4.52,2017/3/21,37180.89,1.55,-20.85,-12.37,18.02,3.93,104263
603717,天域生态,环境保护,重庆,48.49,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,6.66,2017/3/27,31289.65,1.81,0.64,11.91,30.18,13.31,39348
300626,华瑞股份,电气设备,浙江,64.5,0.25,1,79888.31,47178.48,23902.28,8107.97,0.81,0.395,3.65,6.98,2017/3/20,11470.96,1.15,1.68,75.11,20.82,5.75,49456
601128,常熟银行,银行,江苏,27.66,2.22,22.23,12551607,0,82973.1,69600.2,0.31,0.39,4.39,2.93,2016/9/30,200559.3,0.9,0,0,0,23.85,182983
300631,久吾高科,环境保护,江苏,45.52,0.16,0.64,57826.46,42571.4,11932.55,162.5,0.03,0.671,8.16,3.74,2017/3/23,31856.83,4.97,5.09,-14.37,42.92,17.51,29753
736,中房地产,全国地产,重庆,48.93,2.97,2.97,1534926.5,1512726.38,4393.49,25407.03,0.85,0.317,5.19,3.98,1997/4/25,94760.96,3.19,365.62,346.31,22.43,5.33,16172
603833,欧派家居,家居用品,广东,41.96,0.42,4.15,554842.75,219891.17,154291.38,65022.61,1.57,2.288,7.72,12.44,2017/3/28,173348.88,4.18,27.23,94.39,36.55,13.31,39144
603656,泰禾光电,专用机械,安徽,61.41,0.19,0.76,50246.01,35605.1,11964.15,4719.93,0.62,1.101,6.77,9.99,2017/3/21,24699.45,3.25,19.52,11.36,52.65,22.57,17687
300628,亿联网络,通信设备,福建,57.2,0.19,0.75,90742.28,80902.3,1444.17,2480.91,0.33,5.79,14.37,23.05,2017/3/17,69563.43,9.32,39.56,74.59,63.13,46.8,34252
603960,克来机电,专用机械,上海,105.71,0.2,0.8,38050.3,24863.05,3202.75,6440.65,0.81,0.447,3.9,12.13,2017/3/14,9833,1.23,24.25,16.88,35.39,18.6,18573
603133,碳元科技,元器件,江苏,67.52,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,8.25,2017/3/20,18411.78,0.89,40.6,51.09,30.32,17.67,14
603041,美思德,化工原料,江苏,29.97,0.25,1,48410.73,31768.9,13959.75,6757.07,0.68,0.683,5.42,3.78,2017/3/30,23048.82,2.3,4.94,1.36,42.09,24.19,27801
600744,华银电力,火力发电,湖南,58.35,8.28,17.81,1928817.25,372772.78,1196886.75,488819.25,2.74,0.106,2.33,2.65,1996/9/5,-266484.22,-1.5,-13.52,-50.66,12.39,2.94,93012
300621,维业股份,装修装饰,深圳,87.11,0.34,1.36,161155.69,148236.3,2493.37,9843.62,0.72,0.405,4.41,8,2017/3/16,20899.88,1.54,19.34,51.21,13.4,3.45,60663
300475,聚隆科技,专用机械,安徽,83.32,0.61,2,145137.48,134795.2,6264.26,43399.25,2.17,0.483,5.69,7.08,2015/6/10,45844.28,2.29,25.18,-8.27,34.52,20.07,17459
2858,力盛赛车,文教休闲,上海,47.84,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,5.26,2017/3/24,11122.82,1.76,9.67,32.23,33.33,13.56,29413
2857,三晖电气,电器仪表,河南,52.26,0.2,0.8,32269.19,28367.94,987.67,604.82,0.08,0.501,3.84,6.82,2017/3/23,14541.25,1.82,-4.28,4,46.98,19.96,36974
300622,博士眼镜,其他商业,深圳,100.94,0.21,0.86,29869.85,23288.67,4237.21,9865.71,1.15,0.44,3.81,11.66,2017/3/15,6525.46,0.76,10.72,7.06,75.74,9.08,40152
603768,常青股份,汽车配件,安徽,52.04,0.51,2.04,153311.56,58885.82,64658.11,6359.89,0.31,0.727,4.88,7.76,2017/3/24,48091.96,2.36,31.26,92.25,26.41,9.94,46888
603388,元成股份,建筑施工,浙江,52.91,0.25,1,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,5.12,2017/3/24,19665.52,1.97,22.99,8.56,24.79,9.72,27751
603626,科森科技,专用机械,江苏,74.22,0.53,2.11,129728.51,67467.31,47198.9,522.72,0.02,0.594,3.43,17.11,2017/2/9,35369.07,1.68,0,0,31.23,13.86,54284
603178,圣龙股份,汽车配件,浙江,35.64,0.5,2,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,5.3,2017/3/28,21428.82,1.07,12.33,17.81,23.24,6.46,49497
603303,得邦照明,家用电器,浙江,22.22,0.6,2.4,231999.02,179101.77,24227.9,9600.78,0.4,1.328,6.64,4.45,2017/3/30,83048.4,3.46,-0.14,-6.59,20.79,9.88,54322
300627,华测导航,通信设备,上海,46.02,0.3,1.19,50236.1,44568.78,1471.15,7094.58,0.6,0.857,3.44,11.47,2017/3/21,12881.53,1.08,33.14,93.07,55.15,21.18,54911
2856,美芝股份,装修装饰,深圳,76.65,0.25,1.01,109391.71,105008.36,757.1,6482.72,0.64,0.514,4.48,8.79,2017/3/20,17707.4,1.75,-10.61,11.71,15.15,5.49,46989
300630,普利制药,化学制药,海南,38.55,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,6.57,2017/3/28,9244.87,0.76,22.28,37.62,76.75,28.14,55221
600926,杭州银行,银行,浙江,13.28,2.62,26.17,63414156,0,142353,802203.31,3.06,1.282,14.74,1.54,2016/10/27,1462239.5,5.59,0,0,0,18.31,236149
600908,无锡银行,银行,江苏,29,1.85,18.48,12463267,0,95833.4,97489.1,0.53,0.52,4.75,2.95,2016/9/23,25317.3,0.14,5.22,7.13,0,35.4,47605
2060,粤 水 电,建筑施工,广东,56.63,6.01,6.01,1557912,736340.44,578326,120188.25,2,0.113,4.36,1.95,2006/8/10,70438.81,1.17,0.12,0.77,9.45,1.62,68691
927,一汽夏利,汽车整车,天津,0,15.95,15.95,715381,378255.31,123341.96,133983.8,0.84,-0.517,0.45,17.37,1999/7/27,-271221.28,-1.7,-44.63,3.37,-29.54,-56.05,44570
2204,大连重工,专用机械,辽宁,137.61,19.31,19.31,1699319.75,1281585.25,319295.13,240572.72,1.25,0.03,3.42,1.59,2008/1/16,204048.67,1.06,-14.98,91.78,16.62,1.39,44372
601228,广州港,港口,广东,36.83,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.108,1.82,2.19,2017/3/29,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
2497,雅化集团,化工原料,四川,66.98,7.77,9.6,305132.94,88341.36,54689.42,36482.51,0.38,0.102,2.36,3.84,2010/11/9,76523.8,0.8,15.3,12.6,39.68,8.79,95000
300618,寒锐钴业,小金属,江苏,194.38,0.3,1.2,80345.5,53050.67,21414.82,13453.65,1.12,0.555,4.15,25.97,2017/3/6,12583.58,1.05,-20.24,134.5,23.2,8.96,53659
600435,北方导航,专用机械,北京,585.34,14.89,14.89,472588.91,306325,97818.8,7449.38,0.05,0.029,1.39,12.12,2003/7/4,41940.73,0.28,8.3,11.19,26.16,2.14,144138
300194,福安药业,化学制药,重庆,54.48,1.59,3.97,453664.75,128351.07,98387.42,302405.31,7.63,0.51,11.21,2.55,2011/3/22,43944.55,1.11,70.28,209.99,47.22,17.85,11962
2192,融捷股份,专用机械,广东,5244.41,1.9,2.6,96009.25,30765.86,12430.26,51183.68,1.97,0.004,2.82,9.85,2007/12/5,-5361.3,-0.21,32.35,109.61,34.27,0.66,33900
2466,天齐锂业,小金属,四川,28.41,9.86,9.94,1120593.38,391413.75,148023.59,264099.84,2.66,1.54,4.62,9.36,2010/8/31,169553.22,1.71,109.15,510.03,71.25,38.73,134289
